datetime;season;holiday;workingday;weather;temp;atemp;humidity;windspeed;casual;registered;count
01.01.2011 0:00;1;0;0;1;9.84;14.395;81;0;3;13;16
01.01.2011 1:00;1;0;0;1;9.02;13.635;80;0;8;32;40
01.01.2011 2:00;1;0;0;1;9.02;13.635;80;0;5;27;32
01.01.2011 3:00;1;0;0;1;9.84;14.395;75;0;3;10;13
01.01.2011 4:00;1;0;0;1;9.84;14.395;75;0;0;1;1
01.01.2011 5:00;1;0;0;2;9.84;12.88;75;6.0032;0;1;1
01.01.2011 6:00;1;0;0;1;9.02;13.635;80;0;2;0;2
01.01.2011 7:00;1;0;0;1;8.2;12.88;86;0;1;2;3
01.01.2011 8:00;1;0;0;1;9.84;14.395;75;0;1;7;8
01.01.2011 9:00;1;0;0;1;13.12;17.425;76;0;8;6;14
01.01.2011 10:00;1;0;0;1;15.58;19.695;76;16.9979;12;24;36
01.01.2011 11:00;1;0;0;1;14.76;16.665;81;19.0012;26;30;56
01.01.2011 12:00;1;0;;1;17.22;21.21;77;19.0012;29;55;84
01.01.2011 13:00;1;0;0;2;18.86;22.725;72;19.9995;47;47;94
01.01.2011 14:00;1;0;0;2;18.86;22.725;72;19.0012;35;71;106
01.01.2011 15:00;1;0;0;2;18.04;21.97;77;19.9995;40;70;110
01.01.2011 16:00;1;0;0;2;17.22;21.21;82;19.9995;41;52;93
01.01.2011 17:00;1;0;0;2;18.04;21.97;82;19.0012;15;52;67
01.01.2011 18:00;1;0;0;3;17.22;21.21;88;16.9979;9;26;35
01.01.2011 19:00;1;0;0;3;17.22;21.21;88;16.9979;6;31;37
01.01.2011 20:00;1;0;0;2;16.4;20.455;87;16.9979;11;25;36
01.01.2011 21:00;1;0;0;2;16.4;20.455;87;12.998;3;31;34
01.01.2011 22:00;1;0;0;2;16.4;20.455;94;15.0013;11;17;28
01.01.2011 23:00;1;0;0;2;18.86;22.725;88;19.9995;15;24;39
02.01.2011 0:00;1;0;0;2;18.86;22.725;88;19.9995;4;13;17
02.01.2011 1:00;1;0;0;2;18.04;21.97;94;16.9979;1;16;17
02.01.2011 2:00;1;0;0;2;17.22;21.21;100;19.0012;1;8;9
02.01.2011 3:00;1;0;0;2;18.86;22.725;94;12.998;2;4;6
02.01.2011 4:00;1;0;0;2;18.86;22.725;94;12.998;2;1;3
02.01.2011 6:00;1;0;0;3;17.22;21.21;77;19.9995;0;2;2
02.01.2011 7:00;1;0;0;2;16.4;20.455;76;12.998;0;1;1
02.01.2011 8:00;1;0;0;3;16.4;20.455;71;15.0013;0;8;8
02.01.2011 9:00;1;0;0;2;15.58;19.695;76;15.0013;1;19;20
02.01.2011 10:00;1;0;0;2;14.76;17.425;81;15.0013;7;46;53
02.01.2011 11:00;1;0;0;2;14.76;16.665;71;16.9979;16;54;70
02.01.2011 12:00;1;0;0;2;14.76;16.665;66;19.9995;20;73;93
02.01.2011 13:00;1;0;0;2;14.76;17.425;66;8.9981;11;64;75
02.01.2011 14:00;1;0;0;3;14.76;17.425;76;12.998;4;55;59
02.01.2011 15:00;1;0;0;3;13.94;16.665;81;11.0014;19;55;74
02.01.2011 16:00;1;0;;3;13.94;16.665;71;11.0014;9;67;76
02.01.2011 17:00;1;0;;1;13.94;16.665;57;12.998;7;58;65
02.01.2011 18:00;1;0;;2;14.76;16.665;46;22.0028;10;43;53
02.01.2011 19:00;1;0;;1;13.12;14.395;42;30.0026;1;29;30
02.01.2011 20:00;1;0;0;1;12.3;13.635;39;23.9994;5;17;22
02.01.2011 21:00;1;0;0;1;10.66;11.365;44;22.0028;11;20;31
02.01.2011 22:00;1;0;0;1;9.84;10.605;44;19.9995;0;9;9
02.01.2011 23:00;1;0;0;1;9.02;11.365;47;11.0014;0;8;8
03.01.2011 0:00;1;0;1;1;9.02;9.85;44;23.9994;0;5;5
03.01.2011 1:00;1;0;1;1;8.2;8.335;44;27.9993;0;2;2
03.01.2011 4:00;1;0;1;1;6.56;6.82;47;26.0027;0;1;1
03.01.2011 5:00;1;0;1;1;6.56;6.82;47;19.0012;0;3;3
03.01.2011 6:00;1;0;1;1;5.74;5.305;50;26.0027;0;30;30
03.01.2011 7:00;1;0;1;1;5.74;6.82;50;12.998;1;63;64
03.01.2011 8:00;1;0;1;1;5.74;6.06;50;19.0012;1;153;154
03.01.2011 9:00;1;0;1;1;6.56;6.82;43;26.0027;7;81;88
03.01.2011 10:00;1;0;1;1;7.38;8.335;43;16.9979;11;33;44
03.01.2011 11:00;1;0;1;1;8.2;9.09;40;22.0028;10;41;51
03.01.2011 12:00;1;0;1;1;9.02;10.605;35;19.9995;13;48;61
03.01.2011 13:00;1;0;1;1;9.84;10.605;35;19.0012;8;53;61
03.01.2011 14:00;1;0;1;1;10.66;12.12;30;19.0012;11;66;77
03.01.2011 15:00;1;0;1;1;10.66;12.12;30;16.9979;14;58;72
03.01.2011 16:00;1;0;1;1;10.66;12.12;30;16.9979;9;67;76
03.01.2011 17:00;1;0;1;1;9.84;11.365;30;15.0013;11;146;157
03.01.2011 18:00;1;0;1;1;9.84;12.88;32;7.0015;9;148;157
03.01.2011 19:00;1;0;1;1;8.2;12.88;47;0;8;102;110
03.01.2011 20:00;1;0;1;1;8.2;11.365;47;7.0015;3;49;52
03.01.2011 21:00;1;0;1;1;7.38;9.85;64;8.9981;3;49;52
03.01.2011 22:00;1;0;1;1;5.74;7.575;69;8.9981;0;20;20
03.01.2011 23:00;1;0;1;1;7.38;10.605;55;7.0015;1;11;12
04.01.2011 0:00;1;0;1;1;6.56;9.09;55;7.0015;0;5;5
04.01.2011 1:00;1;0;1;1;6.56;9.09;59;7.0015;0;2;2
04.01.2011 2:00;1;0;1;1;5.74;7.575;63;8.9981;0;1;1
04.01.2011 4:00;1;0;1;1;5.74;9.09;63;6.0032;0;2;2
04.01.2011 5:00;1;0;1;1;4.92;7.575;68;7.0015;0;4;4
04.01.2011 6:00;1;0;1;1;4.92;7.575;74;7.0015;0;36;36
04.01.2011 7:00;1;0;1;1;4.92;7.575;74;8.9981;2;92;94
04.01.2011 8:00;1;0;1;1;5.74;7.575;69;11.0014;2;177;179
04.01.2011 9:00;1;0;1;1;6.56;7.575;64;15.0013;2;98;100
04.01.2011 10:00;1;0;1;2;6.56;6.82;69;22.0028;5;37;42
04.01.2011 11:00;1;0;1;1;9.02;10.605;51;19.9995;7;50;57
04.01.2011 12:00;1;0;1;1;9.02;11.365;51;11.0014;12;66;78
04.01.2011 13:00;1;0;1;1;9.84;11.365;56;12.998;18;79;97
04.01.2011 14:00;1;0;1;1;10.66;12.88;52;15.0013;9;54;63
04.01.2011 15:00;1;0;1;1;11.48;13.635;52;16.9979;17;48;65
04.01.2011 16:00;1;0;1;1;12.3;14.395;49;16.9979;15;68;83
04.01.2011 17:00;1;0;1;1;11.48;13.635;48;15.0013;10;202;212
04.01.2011 18:00;1;0;1;1;10.66;12.88;48;12.998;3;179;182
04.01.2011 19:00;1;0;1;1;9.84;12.88;48;7.0015;2;110;112
04.01.2011 20:00;1;0;1;1;9.84;12.88;48;7.0015;1;53;54
04.01.2011 21:00;1;0;1;1;9.02;13.635;64;0;0;48;48
04.01.2011 22:00;1;0;1;1;9.02;12.88;64;6.0032;1;34;35
04.01.2011 23:00;1;0;1;1;8.2;11.365;69;6.0032;2;9;11
05.01.2011 0:00;1;0;1;1;8.2;12.88;64;0;0;6;6
05.01.2011 1:00;1;0;1;1;6.56;9.85;74;6.0032;0;6;6
05.01.2011 2:00;1;0;1;1;6.56;9.85;74;6.0032;0;2;2
05.01.2011 4:00;1;0;1;1;9.84;11.365;48;15.0013;0;2;2
05.01.2011 5:00;1;0;1;1;9.02;11.365;47;11.0014;0;3;3
05.01.2011 6:00;1;0;1;1;8.2;9.85;47;15.0013;0;33;33
05.01.2011 7:00;1;0;1;1;7.38;9.09;43;12.998;1;87;88
05.01.2011 8:00;1;0;1;1;8.2;9.09;40;19.9995;3;192;195
05.01.2011 9:00;1;0;1;1;9.02;9.85;37;22.0028;6;109;115
05.01.2011 10:00;1;0;1;1;9.02;9.85;37;22.0028;4;53;57
05.01.2011 11:00;1;0;1;1;10.66;11.365;33;22.0028;12;34;46
05.01.2011 12:00;1;0;1;1;10.66;11.365;33;22.0028;5;74;79
05.01.2011 13:00;1;0;1;1;11.48;12.88;30;19.9995;6;65;71
05.01.2011 14:00;1;0;1;1;12.3;14.395;28;12.998;10;52;62
05.01.2011 15:00;1;0;1;1;12.3;14.395;28;12.998;7;55;62
05.01.2011 16:00;1;0;1;1;12.3;15.91;28;6.0032;4;85;89
05.01.2011 17:00;1;0;1;1;9.84;11.365;38;12.998;4;186;190
05.01.2011 18:00;1;0;1;1;9.84;12.12;38;8.9981;3;166;169
05.01.2011 19:00;1;0;1;1;9.84;12.88;38;7.0015;5;127;132
05.01.2011 20:00;1;0;1;1;9.02;11.365;47;11.0014;7;82;89
05.01.2011 21:00;1;0;1;1;8.2;9.85;51;12.998;3;40;43
05.01.2011 22:00;1;0;1;1;7.38;9.85;55;8.9981;1;41;42
05.01.2011 23:00;1;0;1;1;8.2;12.88;47;0;1;18;19
06.01.2011 0:00;1;0;1;1;7.38;12.12;55;0;0;11;11
06.01.2011 1:00;1;0;1;1;6.56;11.365;64;0;0;4;4
06.01.2011 2:00;1;0;1;1;6.56;11.365;64;0;0;2;2
06.01.2011 4:00;1;0;1;2;6.56;9.85;64;6.0032;0;1;1
06.01.2011 5:00;1;0;1;2;5.74;9.09;69;6.0032;0;4;4
06.01.2011 6:00;1;0;1;2;5.74;8.335;63;7.0015;0;36;36
06.01.2011 7:00;1;0;1;2;6.56;11.365;59;0;0;95;95
06.01.2011 8:00;1;0;1;1;6.56;11.365;59;0;3;216;219
06.01.2011 9:00;1;0;1;2;7.38;12.12;51;0;6;116;122
06.01.2011 10:00;1;0;1;1;8.2;12.88;47;0;3;42;45
06.01.2011 11:00;1;0;1;1;9.02;12.88;44;6.0032;2;57;59
06.01.2011 12:00;1;0;1;1;10.66;14.395;35;0;6;78;84
06.01.2011 13:00;1;0;1;1;10.66;13.635;35;7.0015;12;55;67
06.01.2011 14:00;1;0;1;1;11.48;13.635;36;11.0014;11;59;70
06.01.2011 15:00;1;0;1;1;11.48;13.635;36;0;8;54;62
06.01.2011 16:00;1;0;1;1;10.66;12.88;38;11.0014;12;74;86
06.01.2011 17:00;1;0;1;1;9.02;11.365;51;11.0014;9;163;172
06.01.2011 18:00;1;0;1;1;9.02;11.365;51;8.9981;5;158;163
06.01.2011 19:00;1;0;1;1;9.02;12.88;55;6.0032;3;109;112
06.01.2011 20:00;1;0;1;1;8.2;10.605;51;11.0014;3;66;69
06.01.2011 21:00;1;0;1;2;9.02;10.605;55;15.0013;0;48;48
06.01.2011 22:00;1;0;1;2;9.02;10.605;51;19.0012;1;51;52
06.01.2011 23:00;1;0;1;2;8.2;9.85;59;12.998;4;19;23
07.01.2011 0:00;1;0;1;2;8.2;9.85;64;12.998;4;13;17
07.01.2011 1:00;1;0;1;2;8.2;9.85;69;15.0013;2;5;7
07.01.2011 2:00;1;0;1;2;8.2;9.85;69;15.0013;0;1;1
07.01.2011 4:00;1;0;1;2;8.2;10.605;69;8.9981;0;1;1
07.01.2011 5:00;1;0;1;3;9.02;13.635;55;0;0;5;5
07.01.2011 6:00;1;0;1;2;8.2;12.88;69;0;8;26;34
07.01.2011 7:00;1;0;1;1;8.2;10.605;69;8.9981;8;76;84
07.01.2011 8:00;1;0;1;1;8.2;9.85;51;16.9979;20;190;210
07.01.2011 9:00;1;0;1;1;8.2;9.09;47;19.9995;9;125;134
07.01.2011 10:00;1;0;1;1;9.02;9.85;37;22.0028;16;47;63
07.01.2011 11:00;1;0;1;2;8.2;9.85;40;15.0013;19;48;67
07.01.2011 12:00;1;0;1;2;8.2;9.85;37;16.9979;9;50;59
07.01.2011 13:00;1;0;1;2;8.2;9.09;37;19.0012;9;64;73
07.01.2011 14:00;1;0;1;2;8.2;9.85;40;16.9979;7;43;50
07.01.2011 15:00;1;0;1;2;8.2;10.605;37;11.0014;9;63;72
07.01.2011 16:00;1;0;1;2;8.2;10.605;37;11.0014;5;82;87
07.01.2011 17:00;1;0;1;2;8.2;12.88;37;0;9;178;187
07.01.2011 18:00;1;0;1;1;8.2;11.365;40;6.0032;7;116;123
07.01.2011 19:00;1;0;1;1;6.56;9.85;55;6.0032;3;92;95
07.01.2011 20:00;1;0;1;1;7.38;10.605;47;7.0015;1;50;51
07.01.2011 21:00;1;0;1;1;7.38;9.85;47;8.9981;0;39;39
