iter	RMSE
0	4223.627089
1	3939.096197
2	3689.012619
3	3467.766178
4	3273.427468
5	3099.437335
6	2947.813548
7	2818.457609
8	2704.917439
9	2603.499209
10	2516.102189
11	2438.521042
12	2369.987829
13	2307.704016
14	2251.2683
15	2207.854165
16	2167.28097
17	2129.099033
18	2098.683423
19	2070.476905
20	2045.818308
21	2019.578857
22	1999.996401
23	1981.245145
24	1965.487874
25	1947.690992
26	1935.161633
27	1919.70292
28	1909.300499
29	1898.438427
30	1886.063669
31	1876.867941
32	1868.963527
33	1861.669579
34	1853.081289
35	1846.573837
36	1839.938398
37	1833.788705
38	1829.514016
39	1824.695503
40	1817.913799
41	1812.640722
42	1809.099053
43	1805.703337
44	1799.614364
45	1794.959122
46	1790.829206
47	1787.517292
48	1783.358823
49	1779.001355
50	1775.628176
51	1773.519121
52	1770.523428
53	1766.236396
54	1762.583677
55	1760.067976
56	1757.409014
57	1753.602868
58	1751.69901
59	1750.057322
60	1747.151106
61	1745.491652
62	1742.904264
63	1740.635912
64	1737.245351
65	1735.116633
66	1734.04725
67	1731.255059
68	1729.980779
69	1726.919266
70	1725.118744
71	1722.397063
72	1720.721646
73	1719.101935
74	1717.449461
75	1715.693775
76	1714.337008
77	1712.561859
78	1710.049829
79	1708.374411
80	1706.737451
81	1704.867034
82	1701.96783
83	1700.315251
84	1698.710673
85	1697.152258
86	1695.880845
87	1694.483616
88	1692.591637
89	1691.586481
90	1690.407511
91	1688.835131
92	1687.250248
93	1686.258792
94	1683.699488
95	1682.314917
96	1681.332121
97	1680.632614
98	1679.377734
99	1677.82429
