iter	Passed	Remaining
0	70	6962
1	132	6512
2	216	7014
3	282	6777
4	357	6787
5	431	6764
6	521	6928
7	588	6772
8	675	6826
9	776	6990
10	856	6933
11	938	6884
12	1020	6832
13	1107	6804
14	1180	6691
15	1260	6616
16	1339	6541
17	1420	6472
18	1529	6520
19	1609	6438
20	1679	6319
21	1764	6254
22	1828	6121
23	1914	6062
24	1993	5980
25	2065	5879
26	2146	5802
27	2221	5712
28	2328	5701
29	2402	5606
30	2475	5510
31	2556	5432
32	2624	5328
33	2714	5268
34	2780	5163
35	2854	5074
36	2930	4989
37	2998	4892
38	3074	4809
39	3150	4725
40	3224	4640
41	3307	4567
42	3370	4468
43	3431	4367
44	3499	4276
45	3576	4199
46	3652	4118
47	3722	4032
48	3817	3973
49	3891	3891
50	3964	3808
51	4022	3712
52	4089	3626
53	4152	3537
54	4229	3460
55	4290	3370
56	4367	3294
57	4453	3225
58	4511	3135
59	4569	3046
60	4646	2970
61	4710	2887
62	4797	2817
63	4868	2738
64	4930	2654
65	4988	2570
66	5059	2491
67	5121	2410
68	5188	2331
69	5267	2257
70	5346	2183
71	5414	2105
72	5482	2027
73	5544	1948
74	5612	1870
75	5701	1800
76	5759	1720
77	5842	1647
78	5922	1574
79	6000	1500
80	6063	1422
81	6140	1347
82	6212	1272
83	6301	1200
84	6370	1124
85	6428	1046
86	6510	972
87	6583	897
88	6643	821
89	6712	745
90	6797	672
91	6870	597
92	6946	522
93	7017	447
94	7084	372
95	7146	297
96	7223	223
97	7289	148
98	7347	74
99	7441	0
