iter	MultiClass
0	1.90563012
1	1.822514446
2	1.767621633
3	1.738321067
4	1.711781532
5	1.691831244
6	1.67013368
7	1.654241392
8	1.641407827
9	1.627008322
10	1.613951758
11	1.601798984
12	1.591604225
13	1.582626128
14	1.572658843
15	1.563091961
16	1.555042563
17	1.544204195
18	1.534609199
19	1.527155861
20	1.517165198
21	1.510130324
22	1.502914585
23	1.496010646
24	1.489900057
25	1.481696562
26	1.474052864
27	1.467075305
28	1.460986091
29	1.452870504
30	1.445153406
31	1.437468987
32	1.430078607
33	1.423223573
34	1.416323222
35	1.41063881
36	1.403778216
37	1.398045612
38	1.392612809
39	1.388051438
40	1.381425392
41	1.376465771
42	1.373225643
43	1.368862183
44	1.363121641
45	1.357917982
46	1.353938338
47	1.349085348
48	1.343735952
49	1.336581186
50	1.329520948
51	1.324706351
52	1.32044381
53	1.314834083
54	1.310024541
55	1.305313889
56	1.300764728
57	1.294503557
58	1.289477356
59	1.285288891
60	1.282019347
61	1.27917695
62	1.274890979
63	1.269090148
64	1.265106621
65	1.261819427
66	1.257242044
67	1.252705037
68	1.249486575
69	1.2448903
70	1.240454464
71	1.235668061
72	1.231622632
73	1.225556284
74	1.223088976
75	1.219545948
76	1.216442054
77	1.213851652
78	1.209042257
79	1.205383808
80	1.201572589
81	1.196875349
82	1.193088382
83	1.188781999
84	1.184880703
85	1.181242545
86	1.177236847
87	1.17172683
88	1.167767559
89	1.162864683
90	1.159997249
91	1.156852868
92	1.154349029
93	1.150841077
94	1.146353203
95	1.142425824
96	1.138715449
97	1.134149491
98	1.130063197
99	1.126148365
100	1.12222518
101	1.118883114
102	1.115811985
103	1.111620292
104	1.109133434
105	1.106812279
106	1.103743265
107	1.099037791
108	1.096566398
109	1.090928901
110	1.08825432
111	1.084219623
112	1.081759434
113	1.077403119
114	1.073526965
115	1.071202608
116	1.06837652
117	1.065843791
118	1.063735621
119	1.058726615
120	1.055599342
121	1.051985714
122	1.04956185
123	1.046254435
124	1.042465641
125	1.040023061
126	1.034899406
127	1.032381725
128	1.027872976
129	1.024532834
130	1.020857729
131	1.018068155
132	1.014758417
133	1.010949158
134	1.006766775
135	1.004097924
136	0.9996129721
137	0.9965727116
138	0.9943051447
139	0.9905926265
140	0.9874789737
141	0.9852226764
142	0.9832305751
143	0.9804637007
144	0.9787644482
145	0.9750158782
146	0.9726851825
147	0.9687627528
148	0.9667810789
149	0.9630984639
150	0.9596657712
151	0.9570747357
152	0.9550056649
153	0.9512231657
154	0.947973558
155	0.9447841756
156	0.9415590877
157	0.9382468681
158	0.9359666018
159	0.9347315738
160	0.9323288999
161	0.9303406372
162	0.928179365
163	0.924764917
164	0.9222964757
165	0.9205263264
166	0.918198813
167	0.9160900804
168	0.9142983046
169	0.9117292541
170	0.9088084035
171	0.9059377524
172	0.9035240031
173	0.9006585401
174	0.8966563272
175	0.8945003433
176	0.8918744283
177	0.8887735253
178	0.8846590382
179	0.8823892444
180	0.8789919271
181	0.8764440791
182	0.8744751246
183	0.8713122382
184	0.8669710535
185	0.8651450416
186	0.8634385085
187	0.8615908362
188	0.8594987825
189	0.8554482899
190	0.853129115
191	0.8499608595
192	0.8474118631
193	0.8454804741
194	0.8419601386
195	0.8397952796
196	0.8365550972
197	0.8338188977
198	0.8320548518
199	0.8290754512
