iter	Passed	Remaining
0	922	183543
1	1756	173936
2	2597	170567
3	3565	174716
4	4369	170392
5	5161	166898
6	5864	161680
7	6434	154430
8	7042	149466
9	7650	145368
10	8269	142088
11	8854	138716
12	9453	135988
13	10062	133686
14	10675	131668
15	11294	129881
16	11919	128306
17	12554	126943
18	13192	125675
19	13806	124256
20	14457	123236
21	15093	122118
22	15660	120519
23	16342	119847
24	16991	118943
25	17658	118175
26	18301	117266
27	18957	116451
28	19606	115610
29	20408	115645
30	21381	116561
31	22035	115685
32	22701	114883
33	23549	114975
34	24183	114007
35	24793	112946
36	25429	112025
37	26059	111095
38	26684	110160
39	27279	109118
40	28099	108972
41	29020	109172
42	29747	108612
43	30563	108360
44	31378	108080
45	32145	107616
46	32839	106903
47	33473	106000
48	34032	104875
49	34656	103969
50	35265	103029
51	35842	102013
52	36423	101023
53	36994	100020
54	37562	99028
55	38167	98145
56	38750	97216
57	39375	96401
58	39960	95497
59	40527	94563
60	41083	93617
61	41641	92685
62	42203	91775
63	42804	90960
64	43361	90059
65	43923	89178
66	44496	88327
67	45065	87480
68	45608	86589
69	46183	85770
70	46757	84953
71	47359	84194
72	47943	83408
73	48550	82667
74	49097	81829
75	49671	81042
76	50216	80215
77	50801	79458
78	51373	78686
79	51936	77905
80	52506	77138
81	53116	76435
82	53672	75658
83	54237	74899
84	54811	74156
85	55377	73407
86	55946	72665
87	56540	71960
88	57142	71267
89	57754	70589
90	58312	69846
91	58878	69118
92	59430	68377
93	59994	67653
94	60571	66947
95	61161	66258
96	61730	65548
97	62316	64860
98	62918	64190
99	63499	63499
100	64074	62806
101	64654	62118
102	65212	61413
103	65791	60730
104	66350	60031
105	66902	59328
106	67465	58638
107	68079	57993
108	68628	57295
109	69257	56665
110	69823	55984
111	70411	55323
112	70962	54635
113	71570	53991
114	72141	53321
115	72706	52649
116	73278	51983
117	73919	51368
118	74510	50716
119	75156	50104
120	75788	49481
121	76360	48820
122	76924	48155
123	77595	47558
124	78231	46938
125	78853	46310
126	79548	45724
127	80346	45194
128	81004	44583
129	81642	43961
130	82252	43323
131	82903	42707
132	83530	42079
133	84164	41454
134	84818	40838
135	85435	40205
136	86098	39592
137	86734	38967
138	87347	38332
139	88003	37715
140	88637	37089
141	89244	36452
142	89845	35812
143	90466	35181
144	91076	34546
145	91734	33929
146	92344	33294
147	93020	32682
148	93613	32042
149	94235	31411
150	94849	30778
151	95458	30144
152	96083	29515
153	96718	28889
154	97342	28260
155	97992	27638
156	98631	27013
157	99269	26388
158	99862	25750
159	100444	25111
160	101060	24480
161	101666	23847
162	102257	23211
163	102909	22589
164	103511	21956
165	104110	21323
166	104726	20694
167	105312	20059
168	105891	19423
169	106509	18795
170	107137	18169
171	107772	17544
172	108387	16915
173	108994	16286
174	109633	15661
175	110243	15033
176	110899	14410
177	111611	13794
178	112242	13168
179	112879	12542
180	113511	11915
181	114140	11288
182	114765	10661
183	115496	10043
184	116212	9422
185	116826	8793
186	117414	8162
187	118034	7534
188	118651	6905
189	119296	6278
190	119903	5649
191	120510	5021
192	121145	4393
193	121770	3766
194	122415	3138
195	122991	2510
196	123575	1881
197	124152	1254
198	124705	626
199	125314	0
