cat_code,cat_desc,category_level,dt_code,dt_desc,dt_unit,et_code,et_desc,et_unit,geo_code,geo_desc,is_adj,report,detail_code,time_series_code
BOPGS,Balance of Payment Goods and Services,0,BAL,Balance,  Millions of Dollars,,,,US,United States,1,U.S. International Trade in Goods and Services,BAL,BOPGS_BAL_US_adj
BOPGS,Balance of Payment Goods and Services,0,EXP,Exports,  Millions of Dollars,,,,US,United States,1,U.S. International Trade in Goods and Services,EXP,BOPGS_EXP_US_adj
BOPGS,Balance of Payment Goods and Services,0,IMP,Imports,  Millions of Dollars,,,,US,United States,1,U.S. International Trade in Goods and Services,IMP,BOPGS_IMP_US_adj
BOPG,Balance of Payment Goods,0,BAL,Balance,  Millions of Dollars,,,,US,United States,0,U.S. International Trade in Goods and Services,BAL,BOPG_BAL_US
BOPG,Balance of Payment Goods,0,EXP,Exports,  Millions of Dollars,,,,US,United States,0,U.S. International Trade in Goods and Services,EXP,BOPG_EXP_US
BOPG,Balance of Payment Goods,0,IMP,Imports,  Millions of Dollars,,,,US,United States,0,U.S. International Trade in Goods and Services,IMP,BOPG_IMP_US
RATE,Rate,0,RVR,Rental Vacancy Rate,  Percent,,,,US,United States,0,Housing Vacancies and Homeownership,RVR,RATE_RVR_US
RATE,Rate,0,RVR,Rental Vacancy Rate,  Percent,,,,NE,Northeast,0,Housing Vacancies and Homeownership,RVR,RATE_RVR_NE
RATE,Rate,0,RVR,Rental Vacancy Rate,  Percent,,,,MW,Midwest,0,Housing Vacancies and Homeownership,RVR,RATE_RVR_MW
RATE,Rate,0,RVR,Rental Vacancy Rate,  Percent,,,,SO,South,0,Housing Vacancies and Homeownership,RVR,RATE_RVR_SO
RATE,Rate,0,RVR,Rental Vacancy Rate,  Percent,,,,WE,West,0,Housing Vacancies and Homeownership,RVR,RATE_RVR_WE
RATE,Rate,0,HVR,Homeowner Vacancy Rate,  Percent,,,,US,United States,0,Housing Vacancies and Homeownership,HVR,RATE_HVR_US
RATE,Rate,0,HVR,Homeowner Vacancy Rate,  Percent,,,,NE,Northeast,0,Housing Vacancies and Homeownership,HVR,RATE_HVR_NE
RATE,Rate,0,HVR,Homeowner Vacancy Rate,  Percent,,,,MW,Midwest,0,Housing Vacancies and Homeownership,HVR,RATE_HVR_MW
RATE,Rate,0,HVR,Homeowner Vacancy Rate,  Percent,,,,SO,South,0,Housing Vacancies and Homeownership,HVR,RATE_HVR_SO
RATE,Rate,0,HVR,Homeowner Vacancy Rate,  Percent,,,,WE,West,0,Housing Vacancies and Homeownership,HVR,RATE_HVR_WE
RATE,Rate,0,HOR,Homeownership Rate,  Percent,,,,US,United States,0,Housing Vacancies and Homeownership,HOR,RATE_HOR_US
RATE,Rate,0,HOR,Homeownership Rate,  Percent,,,,NE,Northeast,0,Housing Vacancies and Homeownership,HOR,RATE_HOR_NE
RATE,Rate,0,HOR,Homeownership Rate,  Percent,,,,MW,Midwest,0,Housing Vacancies and Homeownership,HOR,RATE_HOR_MW
RATE,Rate,0,HOR,Homeownership Rate,  Percent,,,,SO,South,0,Housing Vacancies and Homeownership,HOR,RATE_HOR_SO
RATE,Rate,0,HOR,Homeownership Rate,  Percent,,,,WE,West,0,Housing Vacancies and Homeownership,HOR,RATE_HOR_WE
RATE,Rate,0,,,,E_HOR,Confidence Interval for Homeownership Rate,  Percent,US,United States,0,Housing Vacancies and Homeownership,E_HOR,RATE_E_HOR_US
RATE,Rate,0,,,,E_RVR,Confidence Interval for Rental Vacancy Rate,  Percent,US,United States,0,Housing Vacancies and Homeownership,E_RVR,RATE_E_RVR_US
RATE,Rate,0,,,,E_HVR,Confidence Interval for Homeowner Vacancy Rate,  Percent,US,United States,0,Housing Vacancies and Homeownership,E_HVR,RATE_E_HVR_US
RATE,Rate,0,SAHOR,Seasonally Adjusted Homeownership Rate,  Percent,,,,US,United States,1,Housing Vacancies and Homeownership,SAHOR,RATE_SAHOR_US_adj
ESTIMATE,Housing Inventory Estimate,0,TOTAL,Total Housing Units, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,TOTAL,ESTIMATE_TOTAL_US
ESTIMATE,Housing Inventory Estimate,0,OCC,Occupied Housing Units, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,OCC,ESTIMATE_OCC_US
ESTIMATE,Housing Inventory Estimate,0,OWNOCC,Owner Occupied Housing Units, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,OWNOCC,ESTIMATE_OWNOCC_US
ESTIMATE,Housing Inventory Estimate,0,RNTOCC,Renter Occupied Housing Units, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,RNTOCC,ESTIMATE_RNTOCC_US
ESTIMATE,Housing Inventory Estimate,0,VACANT,Vacant Housing Units, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,VACANT,ESTIMATE_VACANT_US
ESTIMATE,Housing Inventory Estimate,0,YRVAC,Year-Round Vacant Housing Units, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,YRVAC,ESTIMATE_YRVAC_US
ESTIMATE,Housing Inventory Estimate,0,SEASON,Seasonal Housing Units, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,SEASON,ESTIMATE_SEASON_US
ESTIMATE,Housing Inventory Estimate,0,RENT,Vacant Housing Units for Rent, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,RENT,ESTIMATE_RENT_US
ESTIMATE,Housing Inventory Estimate,0,SALE,Vacant Housing Units for Sale, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,SALE,ESTIMATE_SALE_US
ESTIMATE,Housing Inventory Estimate,0,RNTSLD,"Vacant Housing Units Rented or Sold, Not Yet Occupied", Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,RNTSLD,ESTIMATE_RNTSLD_US
ESTIMATE,Housing Inventory Estimate,0,OFFMAR,Vacant Housing Units Held Off the Market, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,OFFMAR,ESTIMATE_OFFMAR_US
ESTIMATE,Housing Inventory Estimate,0,OCCUSE,Vacant Housing Units Held Off the Market and For Occasional Use, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,OCCUSE,ESTIMATE_OCCUSE_US
ESTIMATE,Housing Inventory Estimate,0,URE,Vacant Housing Units Held Off the Market and Usual Residence Elsewhere, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,URE,ESTIMATE_URE_US
ESTIMATE,Housing Inventory Estimate,0,OTH,Vacant Housing Units Held Off the Market and Vacant for Other Reasons, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,OTH,ESTIMATE_OTH_US
ESTIMATE,Housing Inventory Estimate,0,TOTAL,Total Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,TOTAL,ESTIMATE_TOTAL_NE
ESTIMATE,Housing Inventory Estimate,0,OCC,Occupied Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,OCC,ESTIMATE_OCC_NE
ESTIMATE,Housing Inventory Estimate,0,OWNOCC,Owner Occupied Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,OWNOCC,ESTIMATE_OWNOCC_NE
ESTIMATE,Housing Inventory Estimate,0,RNTOCC,Renter Occupied Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,RNTOCC,ESTIMATE_RNTOCC_NE
ESTIMATE,Housing Inventory Estimate,0,VACANT,Vacant Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,VACANT,ESTIMATE_VACANT_NE
ESTIMATE,Housing Inventory Estimate,0,YRVAC,Year-Round Vacant Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,YRVAC,ESTIMATE_YRVAC_NE
ESTIMATE,Housing Inventory Estimate,0,SEASON,Seasonal Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,SEASON,ESTIMATE_SEASON_NE
ESTIMATE,Housing Inventory Estimate,0,RENT,Vacant Housing Units for Rent, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,RENT,ESTIMATE_RENT_NE
ESTIMATE,Housing Inventory Estimate,0,SALE,Vacant Housing Units for Sale, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,SALE,ESTIMATE_SALE_NE
ESTIMATE,Housing Inventory Estimate,0,RNTSLD,"Vacant Housing Units Rented or Sold, Not Yet Occupied", Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,RNTSLD,ESTIMATE_RNTSLD_NE
ESTIMATE,Housing Inventory Estimate,0,OFFMAR,Vacant Housing Units Held Off the Market, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,OFFMAR,ESTIMATE_OFFMAR_NE
ESTIMATE,Housing Inventory Estimate,0,OCCUSE,Vacant Housing Units Held Off the Market and For Occasional Use, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,OCCUSE,ESTIMATE_OCCUSE_NE
ESTIMATE,Housing Inventory Estimate,0,URE,Vacant Housing Units Held Off the Market and Usual Residence Elsewhere, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,URE,ESTIMATE_URE_NE
ESTIMATE,Housing Inventory Estimate,0,OTH,Vacant Housing Units Held Off the Market and Vacant for Other Reasons, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,OTH,ESTIMATE_OTH_NE
ESTIMATE,Housing Inventory Estimate,0,TOTAL,Total Housing Units, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,TOTAL,ESTIMATE_TOTAL_MW
ESTIMATE,Housing Inventory Estimate,0,OCC,Occupied Housing Units, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,OCC,ESTIMATE_OCC_MW
ESTIMATE,Housing Inventory Estimate,0,OWNOCC,Owner Occupied Housing Units, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,OWNOCC,ESTIMATE_OWNOCC_MW
ESTIMATE,Housing Inventory Estimate,0,RNTOCC,Renter Occupied Housing Units, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,RNTOCC,ESTIMATE_RNTOCC_MW
ESTIMATE,Housing Inventory Estimate,0,VACANT,Vacant Housing Units, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,VACANT,ESTIMATE_VACANT_MW
ESTIMATE,Housing Inventory Estimate,0,YRVAC,Year-Round Vacant Housing Units, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,YRVAC,ESTIMATE_YRVAC_MW
ESTIMATE,Housing Inventory Estimate,0,SEASON,Seasonal Housing Units, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,SEASON,ESTIMATE_SEASON_MW
ESTIMATE,Housing Inventory Estimate,0,RENT,Vacant Housing Units for Rent, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,RENT,ESTIMATE_RENT_MW
ESTIMATE,Housing Inventory Estimate,0,SALE,Vacant Housing Units for Sale, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,SALE,ESTIMATE_SALE_MW
ESTIMATE,Housing Inventory Estimate,0,RNTSLD,"Vacant Housing Units Rented or Sold, Not Yet Occupied", Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,RNTSLD,ESTIMATE_RNTSLD_MW
ESTIMATE,Housing Inventory Estimate,0,OFFMAR,Vacant Housing Units Held Off the Market, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,OFFMAR,ESTIMATE_OFFMAR_MW
ESTIMATE,Housing Inventory Estimate,0,OCCUSE,Vacant Housing Units Held Off the Market and For Occasional Use, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,OCCUSE,ESTIMATE_OCCUSE_MW
ESTIMATE,Housing Inventory Estimate,0,URE,Vacant Housing Units Held Off the Market and Usual Residence Elsewhere, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,URE,ESTIMATE_URE_MW
ESTIMATE,Housing Inventory Estimate,0,OTH,Vacant Housing Units Held Off the Market and Vacant for Other Reasons, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,OTH,ESTIMATE_OTH_MW
ESTIMATE,Housing Inventory Estimate,0,TOTAL,Total Housing Units, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,TOTAL,ESTIMATE_TOTAL_SO
ESTIMATE,Housing Inventory Estimate,0,OCC,Occupied Housing Units, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,OCC,ESTIMATE_OCC_SO
ESTIMATE,Housing Inventory Estimate,0,OWNOCC,Owner Occupied Housing Units, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,OWNOCC,ESTIMATE_OWNOCC_SO
ESTIMATE,Housing Inventory Estimate,0,RNTOCC,Renter Occupied Housing Units, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,RNTOCC,ESTIMATE_RNTOCC_SO
ESTIMATE,Housing Inventory Estimate,0,VACANT,Vacant Housing Units, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,VACANT,ESTIMATE_VACANT_SO
ESTIMATE,Housing Inventory Estimate,0,YRVAC,Year-Round Vacant Housing Units, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,YRVAC,ESTIMATE_YRVAC_SO
ESTIMATE,Housing Inventory Estimate,0,SEASON,Seasonal Housing Units, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,SEASON,ESTIMATE_SEASON_SO
ESTIMATE,Housing Inventory Estimate,0,RENT,Vacant Housing Units for Rent, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,RENT,ESTIMATE_RENT_SO
ESTIMATE,Housing Inventory Estimate,0,SALE,Vacant Housing Units for Sale, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,SALE,ESTIMATE_SALE_SO
ESTIMATE,Housing Inventory Estimate,0,RNTSLD,"Vacant Housing Units Rented or Sold, Not Yet Occupied", Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,RNTSLD,ESTIMATE_RNTSLD_SO
ESTIMATE,Housing Inventory Estimate,0,OFFMAR,Vacant Housing Units Held Off the Market, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,OFFMAR,ESTIMATE_OFFMAR_SO
ESTIMATE,Housing Inventory Estimate,0,OCCUSE,Vacant Housing Units Held Off the Market and For Occasional Use, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,OCCUSE,ESTIMATE_OCCUSE_SO
ESTIMATE,Housing Inventory Estimate,0,URE,Vacant Housing Units Held Off the Market and Usual Residence Elsewhere, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,URE,ESTIMATE_URE_SO
ESTIMATE,Housing Inventory Estimate,0,OTH,Vacant Housing Units Held Off the Market and Vacant for Other Reasons, Thousands of Units,,,,SO,South,0,Housing Vacancies and Homeownership,OTH,ESTIMATE_OTH_SO
ESTIMATE,Housing Inventory Estimate,0,TOTAL,Total Housing Units, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,TOTAL,ESTIMATE_TOTAL_WE
ESTIMATE,Housing Inventory Estimate,0,OCC,Occupied Housing Units, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,OCC,ESTIMATE_OCC_WE
ESTIMATE,Housing Inventory Estimate,0,OWNOCC,Owner Occupied Housing Units, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,OWNOCC,ESTIMATE_OWNOCC_WE
ESTIMATE,Housing Inventory Estimate,0,RNTOCC,Renter Occupied Housing Units, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,RNTOCC,ESTIMATE_RNTOCC_WE
ESTIMATE,Housing Inventory Estimate,0,VACANT,Vacant Housing Units, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,VACANT,ESTIMATE_VACANT_WE
ESTIMATE,Housing Inventory Estimate,0,YRVAC,Year-Round Vacant Housing Units, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,YRVAC,ESTIMATE_YRVAC_WE
ESTIMATE,Housing Inventory Estimate,0,SEASON,Seasonal Housing Units, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,SEASON,ESTIMATE_SEASON_WE
ESTIMATE,Housing Inventory Estimate,0,RENT,Vacant Housing Units for Rent, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,RENT,ESTIMATE_RENT_WE
ESTIMATE,Housing Inventory Estimate,0,SALE,Vacant Housing Units for Sale, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,SALE,ESTIMATE_SALE_WE
ESTIMATE,Housing Inventory Estimate,0,RNTSLD,"Vacant Housing Units Rented or Sold, Not Yet Occupied", Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,RNTSLD,ESTIMATE_RNTSLD_WE
ESTIMATE,Housing Inventory Estimate,0,OFFMAR,Vacant Housing Units Held Off the Market, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,OFFMAR,ESTIMATE_OFFMAR_WE
ESTIMATE,Housing Inventory Estimate,0,OCCUSE,Vacant Housing Units Held Off the Market and For Occasional Use, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,OCCUSE,ESTIMATE_OCCUSE_WE
ESTIMATE,Housing Inventory Estimate,0,URE,Vacant Housing Units Held Off the Market and Usual Residence Elsewhere, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,URE,ESTIMATE_URE_WE
ESTIMATE,Housing Inventory Estimate,0,OTH,Vacant Housing Units Held Off the Market and Vacant for Other Reasons, Thousands of Units,,,,WE,West,0,Housing Vacancies and Homeownership,OTH,ESTIMATE_OTH_WE
MTM,Total Manufacturing,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,MTM_TI_US_adj
MXT,Manufacturing Excluding Transportation,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,MXT_TI_US_adj
MXD,Manufacturing Excluding Defense,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,MXD_TI_US_adj
MTU,Manufacturing with Unfilled Orders,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,MTU_TI_US_adj
MDM,Durable Goods,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,MDM_TI_US_adj
21S,Wood Products,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,21S_TI_US_adj
27S,Nonmetallic Mineral Products,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,27S_TI_US_adj
31S,Primary Metals,0,TI,Total Inventories,  Millions of Dollars,,,,US,U.S. Total,1,"Manufacturers' Shipments, Inventories, and Orders",TI,31S_TI_US_adj
